title,year,conf,conf_long
Linear-Time Self Attention with Codeword Histogram for Efficient Recommendation,2021,WWW,International World Wide Web Conference
Linguistically-Enriched and Context-Aware Zero-shot Slot filling,2021,WWW,International World Wide Web Conference
Local Clustering in Contextual Multi-Armed Bandits,2021,WWW,International World Wide Web Conference
Long Short-Term Session Search with Joint Document Reranking and Next Query Prediction,2021,WWW,International World Wide Web Conference
Lorentzian Graph Convolutional Neural Networks,2021,WWW,International World Wide Web Conference
Mask-GVAE: Blind De-noising Graphs via Partition,2021,WWW,International World Wide Web Conference
Match Plan Generation in Web Search with Parameterized Action Reinforcement Learning,2021,WWW,International World Wide Web Conference
MATCH: Metadata-Aware Text Classification in A Large Hierarchy,2021,WWW,International World Wide Web Conference
Maximizing Marginal Fairness for Dynamic Learning to Rank,2021,WWW,International World Wide Web Conference
MedPath: Augmenting Health Risk Prediction via Medical Knowledge Paths,2021,WWW,International World Wide Web Conference
Meta-HAR: Federated Representation Learning for Human Activity Recognition,2021,WWW,International World Wide Web Conference
MicroRank: End-to-End Latency Issue Localization with Extended Spectrum Analysis in Microservice Environments,2021,WWW,International World Wide Web Conference
Minimally-Supervised Structure-Rich Text Categorization via Learning on Text-Rich Networks,2021,WWW,International World Wide Web Conference
Mining Dual Emotion for Fake News Detection,2021,WWW,International World Wide Web Conference
MIRA:Leveraging Multi-Intention Co-click Information in Web-scale Document Retrieval using Deep Neural Networks,2021,WWW,International World Wide Web Conference
Mitigating Gender Bias in Captioning Systems,2021,WWW,International World Wide Web Conference
Mixed-Curvature Multi-relational Graph Neural Network for Knowledge Graph Completion,2021,WWW,International World Wide Web Conference
Mixup for Node and Graph Classification,2021,WWW,International World Wide Web Conference
Modeling Human Motives and Emotions from Personal Narratives Using External Knowledge And Entity Tracking,2021,WWW,International World Wide Web Conference
Modeling Sparse Information Diffusion at Scale via Lazy Multivariate Hawkes Processes,2021,WWW,International World Wide Web Conference
Motif-driven Dense Subgraph Discovery in Directed and Labeled Networks,2021,WWW,International World Wide Web Conference
Motif-Preserving Dynamic Attributed Network Embedding,2021,WWW,International World Wide Web Conference
MQuadE: a Unified Model for Knowledge Fact Embedding,2021,WWW,International World Wide Web Conference
MSTREAM: Fast Anomaly Detection in Multi-Aspect Streams,2021,WWW,International World Wide Web Conference
MulDE: Multi-teacher Knowledge Distillation for Low-dimensional Knowledge Graph Embeddings,2021,WWW,International World Wide Web Conference
Multi-domain Dialogue State Tracking with Recursive Inference,2021,WWW,International World Wide Web Conference
Multi-level Connection Enhanced Representation Learning for Script Event Prediction,2021,WWW,International World Wide Web Conference
Multi-level Hyperedge Distillation for Social Linking Prediction on Sparsely Observed Networks,2021,WWW,International World Wide Web Conference
Multi-Session Diversity to Improve User Satisfaction in Web Applications,2021,WWW,International World Wide Web Conference
Multi-view Graph Contrastive Representation Learning for Drug-Drug Interaction Prediction,2021,WWW,International World Wide Web Conference
Multilingual COVID-QA: Learning towards Global Information Sharing via Web Question Answering in Multiple Languages,2021,WWW,International World Wide Web Conference
Multiplex Bipartite Network Embedding using Dual Hypergraph Convolutional Networks,2021,WWW,International World Wide Web Conference
Network of Tensor Time Series,2021,WWW,International World Wide Web Conference
Neural Collaborative Reasoning,2021,WWW,International World Wide Web Conference
NeuroPose: 3D Hand Pose Tracking using EMG Wearables,2021,WWW,International World Wide Web Conference
Nonlinear Higher-Order Label Spreading,2021,WWW,International World Wide Web Conference
Not All Features Are Equal: Discovering Essential Features for Preserving Prediction Privacy,2021,WWW,International World Wide Web Conference
NTAM: Neighborhood-Temporal Attention Model for Disk Failure Prediction in Cloud Platforms,2021,WWW,International World Wide Web Conference
OCT-GAN: A Neural ODE-based Conditional Tabular GANs,2021,WWW,International World Wide Web Conference
On the Equivalence of Decoupled Graph Convolution Network and Label Propagation,2021,WWW,International World Wide Web Conference
On the Feasibility of Automated Built-in Function Modeling for PHP Symbolic Execution,2021,WWW,International World Wide Web Conference
On the Value of Wikipedia as a Gateway to the Web,2021,WWW,International World Wide Web Conference
One Detector to Rule Them All: Towards a General Deepfake Attack Detection Framework,2021,WWW,International World Wide Web Conference
Online Disease Self-diagnosis with Inductive Heterogeneous Graph Convolutional Networks,2021,WWW,International World Wide Web Conference
Online Label Aggregation: A Variational Bayesian Approach,2021,WWW,International World Wide Web Conference
Online Mobile App Usage as an Indicator of Sleep Behavior and Job Performance,2021,WWW,International World Wide Web Conference
OntoZSL: Ontology-enhanced Zero-shot Learning,2021,WWW,International World Wide Web Conference
