title,year,conf,conf_long
Inception Convolution With Efficient Dilation Search,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Back to Event Basics: Self-Supervised Learning of Image Reconstruction for Event Cameras via Photometric Constancy,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
AdderSR: Towards Energy Efficient Image Super-Resolution,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Semi-Supervised Domain Adaptation Based on Dual-Level Domain Mixing for Semantic Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Connecting What To Say With Where To Look by Modeling Human Attention Traces,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Shelf-Supervised Mesh Prediction in the Wild,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning To Filter: Siamese Relation Network for Robust Tracking,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Ensembling With Deep Generative Views,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Accurate Few-Shot Object Detection With Support-Query Mutual Guidance and Hybrid Loss,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Cascaded Prediction Network via Segment Tree for Temporal Video Grounding,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Posterior Promoted GAN With Distribution Discriminator for Unsupervised Image Synthesis,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Toward Accurate and Realistic Outfits Visualization With Attention to Details,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Delving Deep Into Many-to-Many Attention for Few-Shot Video Object Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
MongeNet: Efficient Sampler for Geometric Deep Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Gated Spatio-Temporal Attention-Guided Video Deblurring,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Multi-Scale Photo Exposure Correction,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Semantic Person Image Generation by Region-Adaptive Normalization,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Rethinking Class Relations: Absolute-Relative Supervised and Unsupervised Few-Shot Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Divergence Optimization for Noisy Universal Domain Adaptation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Dynamic Alignment via Meta-Filter for Few-Shot Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Unsupervised Learning of 3D Object Categories From Videos in the Wild,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Exploring Heterogeneous Clues for Weakly-Supervised Audio-Visual Video Parsing,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Dogfight: Detecting Drones From Drones Videos,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
